terrain,lfpr,lfpr_se,wpr,wpr_se,ur,ur_se
Hills,82.04285848721068,1.155992464073995,64.8977629591737,1.537935154856691,20.897730581522584,1.3797249269549468
Plains,66.78367153592446,1.5371471018537493,53.63088722401294,1.6708224765370003,19.694610987113073,1.5707414881258215
