region,gender,sample_size,prop,prop_se,total_pop
NER,Female,4344,52.05443923771055,0.9402783044530764,4106347.507500002
NER,Male,4135,47.942607182728125,0.9402861577285655,3781983.0237500127
NER,Others,1,0.002953579561407923,0.002954638188110276,232.99499999999998
Rest of India,Female,29443,50.516956633731965,0.2855561957898507,97311715.41500019
Rest of India,Male,29475,49.47937572842738,0.285591078179476,95313004.79375008
Rest of India,Others,4,0.0036676378412909983,0.0020941117372155703,7065.036249999999
