ner_state_name,gen_edu_category,sample_size,prop,prop_se,total_pop
Arunachal Pradesh,Not Literate,33,1.7803417741580827,0.41888441239257623,3664.2912499999993
Arunachal Pradesh,Below Primary,63,8.964997322411673,2.9184469872997867,18451.716249999998
Arunachal Pradesh,Primary or Middle,477,42.61225999241862,3.021257867190355,87704.35750000001
Arunachal Pradesh,Matriculation,146,10.862800611642617,1.3879366894921308,22357.76624999998
Arunachal Pradesh,HS or Diploma,169,12.461184443420693,1.4087935341092248,25647.552500000013
Arunachal Pradesh,UG,242,19.11737644054594,1.9321709814817818,39347.29624999996
Arunachal Pradesh,PG and above,61,4.201039415402447,1.0240956917816606,8646.559999999998
Assam,Not Literate,49,3.287503802990747,0.732259064734765,188726.53374999997
Assam,Below Primary,95,6.422360973724661,0.9537641798406188,368690.04499999987
Assam,Primary or Middle,1247,59.502431777045025,1.9271311426798916,3415870.633750005
Assam,Matriculation,414,9.534011905112047,0.8383347671732958,547321.3500000002
Assam,HS or Diploma,431,11.200342762316161,0.9378783539483984,642980.8124999995
Assam,UG,328,8.840053711696854,0.8259943331787718,507483.12249999994
Assam,PG and above,35,1.2132950671145675,0.2998319401328394,69651.92625
Manipur,Not Literate,13,0.9712075226959334,0.3370693625937696,2954.0387499999997
Manipur,Below Primary,2,0.05928800581142038,0.05022965166181254,180.33125
Manipur,Primary or Middle,438,34.15252481732055,2.49199057363848,103878.80999999995
Manipur,Matriculation,133,14.994132494993417,1.9832136194321293,45606.368749999994
Manipur,HS or Diploma,172,21.49747994228176,2.2414764739239526,65387.04374999995
Manipur,UG,250,25.788726199835544,2.3260420189985913,78439.36
Manipur,PG and above,31,2.5366410170612115,0.6996511257486966,7715.48375
Meghalaya,Not Literate,21,2.6002196340211805,0.5965307281710791,16290.765000000001
Meghalaya,Below Primary,100,12.696279630736951,1.8565274546409505,79544.09125
Meghalaya,Primary or Middle,554,63.39458817551602,2.5791009882504694,397176.57875
Meghalaya,Matriculation,128,7.028479814751728,0.9199375288384881,44034.47750000003
Meghalaya,HS or Diploma,126,6.3242837409660355,0.7805709551775105,39622.58374999998
Meghalaya,UG,129,6.39406399808871,0.8572009865566967,40059.76749999998
Meghalaya,PG and above,26,1.5620850059190874,0.40848980427475606,9786.696249999999
Mizoram,Not Literate,20,2.6727021751428115,1.3490855564448456,1780.19
Mizoram,Below Primary,3,0.5391638664310262,0.43483980663813193,359.1175
Mizoram,Primary or Middle,219,45.14468857419215,3.6770988317006164,30069.239999999994
Mizoram,Matriculation,51,10.654980672926968,1.9458293200560872,7096.896250000002
Mizoram,HS or Diploma,51,18.374686701811328,3.94063880515637,12238.712499999998
Mizoram,UG,75,17.226059765789305,2.634002677652313,11473.653750000005
Mizoram,PG and above,27,5.387718243706371,1.5737649162294223,3588.56375
Nagaland,Not Literate,8,1.6742691122880466,1.3045059583800185,3940.4700000000003
Nagaland,Below Primary,14,2.118964513711781,0.6891708575447913,4987.08125
Nagaland,Primary or Middle,277,47.47902938602607,3.34639589605482,111744.0975000001
Nagaland,Matriculation,115,20.32487356447352,3.1738552556461666,47835.532500000016
Nagaland,HS or Diploma,74,9.765374816546796,1.4327078216850784,22983.262499999983
Nagaland,UG,101,15.246835745907076,2.1540165962748423,35884.134999999995
Nagaland,PG and above,25,3.3906528610467683,0.9031920466299335,7980.058750000001
Sikkim,Not Literate,15,5.111659294697092,1.6807599379930624,5299.835000000001
Sikkim,Below Primary,6,0.9379608134026765,0.5811880894961927,972.49
Sikkim,Primary or Middle,152,46.568436886578,4.040395256209,48282.76250000001
Sikkim,Matriculation,54,10.98265872259539,1.7869478397005356,11386.963749999999
Sikkim,HS or Diploma,86,14.623674376779821,2.2217928691362157,15162.016250000002
Sikkim,UG,102,18.801644361074114,3.1494515920291692,19493.79
Sikkim,PG and above,26,2.973965544872886,0.998063789383054,3083.44625
Tripura,Not Literate,7,0.8941489002076084,0.6494671301247767,5415.8675
Tripura,Below Primary,24,4.879943818635996,1.5295828249815335,29557.86125
Tripura,Primary or Middle,429,59.46569630976708,2.477360607531269,360184.2287500004
Tripura,Matriculation,178,9.919707249214461,1.1779150669099643,60083.75125000005
Tripura,HS or Diploma,152,8.148724720815718,1.077753564546459,49356.895000000004
Tripura,UG,241,15.07431904075599,1.6820761050352215,91305.27874999995
Tripura,PG and above,35,1.617459960602952,0.3562559409084975,9796.968749999996
