ner_state_name,lfpr,lfpr_se,wpr,wpr_se,ur,ur_se
Arunachal Pradesh,85.81895212670295,1.6776716161470597,64.32086574481703,2.9416353038342318,25.050511395368897,2.93944897906628
Assam,66.98587055217023,1.6832138242542953,53.60635997903827,1.8402593904433515,19.97363095059222,1.7173147106541238
Manipur,75.07191175028504,2.076677775076632,57.21833186536972,2.454638307813391,23.781970471596033,2.442259807674068
Meghalaya,86.83615830977111,1.6706910119788094,68.65016898399347,2.1808377117352586,20.94287642355454,2.2665920301351763
Mizoram,78.65991953960706,2.947161581664342,67.33659817353437,3.5217008417875375,14.395287247110836,2.9530960810264113
Nagaland,85.12264603241566,1.9314781466745363,52.64671277191214,3.5465789029967714,38.151931094971296,3.708637224366092
Sikkim,85.39989665205181,2.634665476860712,79.29324239424402,2.9597916836173606,7.1506576672901225,1.3919999916123513
Tripura,62.279028165721016,2.3884541386481204,57.20807421434175,2.5135784519895377,8.142313874721644,1.7076132063867593
