ner_state_name,sample_size,pop_total,pop_total_se
Assam,2599,5740724.423750005,250997.97107703376
Meghalaya,1084,626514.96000000206,33632.14262069626
Tripura,1066,605700.8512500004,40214.166702298564
Manipur,1039,304161.4362500005,17486.308625331625
Nagaland,614,235354.63749999998,17851.60391468435
Arunachal Pradesh,1191,205819.53999999978,14144.537727999303
Sikkim,441,103681.30375000002,8415.00843549999
Mizoram,446,66606.37374999998,5829.6484577830315
