region,gen_edu_category,sample_size,fe_rate,fe_rate_se,ur,ur_se
NER,Not Literate,81,32.28157745930755,10.165391545717705,2.523766176717186,1.4334460480840356
NER,Below Primary,238,12.015483965341849,4.8129658554365164,3.927719054623371,1.976707286233676
NER,Primary or Middle,2669,16.27081721860555,3.283707257192947,12.704261398351942,1.722418121204087
NER,Matriculation,862,20.570414496642353,2.595970272217864,21.811997278685986,2.8491068673837625
NER,HS or Diploma,983,25.464713629356556,2.8916659360716337,27.84506693525198,3.265792425318497
NER,UG,1318,25.74046923707467,2.1028274586898297,49.689500712874484,2.786517359408086
NER,PG and above,255,46.03029188142334,8.009321771872262,47.64483239731956,7.5087672896968645
Rest of India,Not Literate,1149,11.892178918097201,1.3772625593758008,2.2696701968845456,0.715294429789438
Rest of India,Below Primary,610,15.69695796808932,2.121517530181174,3.6637044962962375,1.4096077597380232
Rest of India,Primary or Middle,11258,19.15211829856657,0.6124033578161726,4.761243817920085,0.3382225310194592
Rest of India,Matriculation,6319,27.64064995268586,0.9652986256137525,6.773420695268065,0.6704964013780846
Rest of India,HS or Diploma,8168,35.398457767179835,0.8641259455966144,13.194989022466874,0.6378103352125021
Rest of India,UG,8091,41.45912663343967,1.0751342370148698,29.682192608130393,0.8829793271105486
Rest of India,PG and above,1732,43.47165447640702,1.8932552220678813,35.786938085070545,1.8398412180606598
