ner_state_name,gender,sample_size,prop,prop_se,total_pop
Arunachal Pradesh,Female,571,47.84835115752376,1.9292966859568013,98481.25625000002
Arunachal Pradesh,Male,620,52.15164884247635,1.9292966859568008,107338.28374999978
Assam,Female,1325,52.24772680850454,1.2432681065305768,2999398.013750009
Assam,Male,1274,47.75227319149543,1.2432681065305766,2741326.4100000085
Manipur,Female,600,58.17717054523531,1.8197136976382093,176952.51750000005
Manipur,Male,438,41.746227041627435,1.8199526773780956,126975.92375
Manipur,Others,1,0.07660241313711234,0.07637651625762949,232.99499999999998
Meghalaya,Female,513,48.65260978764168,1.6690176173208602,304815.87874999974
Meghalaya,Male,571,51.347390212358036,1.6690176173208666,321699.0812500001
Mizoram,Female,237,50.818147114637036,2.794217374180976,33848.12499999999
Mizoram,Male,209,49.181852885362936,2.7942173741809757,32758.24875
Nagaland,Female,310,49.86550774891789,2.6632344525363263,117360.78500000003
Nagaland,Male,304,50.134492251082186,2.6632344525363254,117993.85250000008
Sikkim,Female,218,44.80437848467931,3.3905357885876604,46453.763749999984
Sikkim,Male,223,55.19562151532066,3.3905357885876604,57227.53999999999
Tripura,Female,570,54.323378747273885,2.2722262601661454,329037.1675000002
Tripura,Male,496,45.676621252725965,2.272226260166147,276663.6837500003
