ner_state_name,gen_edu_category,gender,sample_size,fe_rate,fe_rate_se,ur,ur_se
Arunachal Pradesh,Not Literate,Female,12,49.30244191442786,18.967721805183558,0,0
Arunachal Pradesh,Not Literate,Male,3,15.039312109787073,17.38544234581129,0,0
Arunachal Pradesh,Below Primary,Female,27,10.148749251773342,7.298368409941284,0,0
Arunachal Pradesh,Below Primary,Male,26,3.783908755620973,3.9496470699537,0,0
Arunachal Pradesh,Primary or Middle,Female,148,8.263982501623754,4.190614096794816,8.913813873420022,3.6436959089311243
Arunachal Pradesh,Primary or Middle,Male,238,15.108724912192093,5.703031615775545,9.222389524389193,2.815992307963827
Arunachal Pradesh,Matriculation,Female,51,9.145115384575272,6.362978266361878,12.725807410435769,7.093196158418367
Arunachal Pradesh,Matriculation,Male,76,15.756089874835261,5.380955456570499,6.878786689492297,3.6430077928667206
Arunachal Pradesh,HS or Diploma,Female,50,11.986929229496232,4.3906044059791185,16.788818465222867,4.634841178284748
Arunachal Pradesh,HS or Diploma,Male,94,29.202333596642283,7.9193531715256436,24.89566004291633,4.752453466534554
Arunachal Pradesh,UG,Female,95,19.373106591851112,5.118804367071463,55.991477100899054,9.663887606374882
Arunachal Pradesh,UG,Male,136,16.063445702959623,4.181866835646624,69.04378231389998,5.6543481381465615
Arunachal Pradesh,PG and above,Female,26,8.894652887121797,6.806344665583759,91.1053471128782,6.806344665583759
Arunachal Pradesh,PG and above,Male,31,8.769217437028791,6.684401675796403,85.34843653380375,7.852430367914651
Assam,Not Literate,Female,10,41.501125103133106,18.0127722002687,0,0
Assam,Not Literate,Male,17,29.48488097055738,14.875547331193323,0,0
Assam,Below Primary,Female,22,27.022063419339414,16.531823367442325,4.53369988202919,4.0325548145336345
Assam,Below Primary,Male,39,10.821645843888746,6.57391012335465,3.9460397447360935,3.4987278794425016
Assam,Primary or Middle,Female,165,25.621108609768022,10.903495979557599,18.642465566088866,5.072730229176923
Assam,Primary or Middle,Male,591,17.15965401019104,2.8582918102867647,11.67617604763115,2.352620157166073
Assam,Matriculation,Female,67,13.861189128457985,4.794763072713688,29.456890291836263,7.601514698164362
Assam,Matriculation,Male,189,25.128326483778107,5.0690326287943295,20.561058039703596,4.648994688156173
Assam,HS or Diploma,Female,92,23.68738241701807,8.142538071100331,31.3572764147431,8.189789149734297
Assam,HS or Diploma,Male,217,25.389627970835637,4.02293189470879,29.00710247527521,5.209409202427675
Assam,UG,Female,102,25.16448043730324,5.38692702066089,55.93808766354418,8.143413029066142
Assam,UG,Male,180,21.9650750291019,3.66040950890577,48.905155392103964,5.54867332981
Assam,PG and above,Female,16,44.855519664131805,15.107235173927394,53.19481998293578,15.117445976583832
Assam,PG and above,Male,16,72.66181266728054,13.408129960357847,22.844479386610526,12.09000069112441
Manipur,Not Literate,Female,4,0,0,100,0
Manipur,Not Literate,Male,3,0,0,0,0
Manipur,Below Primary,Female,1,0,0,0,0
Manipur,Primary or Middle,Female,156,1.4994324431078188,0.6532531354395563,15.381160490174462,4.319298928472827
Manipur,Primary or Middle,Male,148,14.401729639811892,3.3795183110648193,9.257472297735017,2.915845203298737
Manipur,Primary or Middle,Others,1,0,0,0,0
Manipur,Matriculation,Female,45,2.280758902562128,1.5752093303750099,13.5272426065487,6.422224718527526
Manipur,Matriculation,Male,53,8.977387901700432,3.686944687340859,9.827330640502362,7.2842742706083445
Manipur,HS or Diploma,Female,52,12.663460559335718,7.508538856137682,9.691787076504918,3.208071218946218
Manipur,HS or Diploma,Male,82,18.058138446967032,4.658783909323176,19.863433884199093,7.074272664249065
Manipur,UG,Female,99,17.646458697783714,5.369938212404761,53.13463931805501,8.814458309672208
Manipur,UG,Male,128,44.66065473655797,6.5328831967549625,38.485882345283905,5.714029404676497
Manipur,PG and above,Female,20,56.41218891950348,12.032871848610332,40.83667519907006,11.779360577975265
Manipur,PG and above,Male,10,78.28783707997803,15.993137747410529,11.565861946421753,10.139837046748976
Meghalaya,Not Literate,Female,3,6.52652263041731,7.744546251584941,0,0
Meghalaya,Not Literate,Male,8,2.8457970453852512,3.1425228790434447,18.694645268312417,17.75923466000578
Meghalaya,Below Primary,Female,18,15.67967850303518,12.578866731469486,17.578026558633507,12.606306028606399
Meghalaya,Below Primary,Male,70,2.2236353141976575,1.224724000887184,0.8755446655102346,0.79303206032837
Meghalaya,Primary or Middle,Female,188,3.142831535166436,1.0897054726307407,23.12171117774203,5.453539884471528
Meghalaya,Primary or Middle,Male,293,6.4323542087739325,2.0054454237682373,10.986890528822087,2.6624041356994925
Meghalaya,Matriculation,Female,47,8.234687269532502,3.687243241231137,45.789014138763186,8.300343856397845
Meghalaya,Matriculation,Male,60,43.285994841510934,10.09369534448233,8.265961599174112,2.9623471517628395
Meghalaya,HS or Diploma,Female,60,23.236088172832673,7.551326239948184,46.82914169573747,9.130692548924825
Meghalaya,HS or Diploma,Male,57,15.958256233699283,5.103242966330076,30.39940776327817,8.77253049821658
Meghalaya,UG,Female,69,20.9614124735675,5.095337308789052,66.01725751583204,7.498506997701121
Meghalaya,UG,Male,56,37.152712997386104,7.489399679889859,43.447229992257775,8.341282095119421
Meghalaya,PG and above,Female,19,17.054335522765907,9.102476730556011,82.94566447723409,9.102476730556011
Meghalaya,PG and above,Male,7,12.163878928635267,11.801446983692342,71.26726416192113,18.745240610326636
Mizoram,Not Literate,Female,3,0,0,0,0
Mizoram,Not Literate,Male,7,0,0,0,0
Mizoram,Below Primary,Male,3,0,0,17.942595390088204,20.821788856356342
Mizoram,Primary or Middle,Female,59,4.365025278207063,2.9199888167614456,1.916647370134841,1.9421172839996421
