terrain,gender,sample_size,fe_rate,fe_rate_se,ur,ur_se
Hills,Female,1510,10.980962633587842,1.0673104441163936,25.246744531198978,2.264181209422353
Hills,Male,2047,17.83806515491794,1.7515854749963244,17.62125421664737,1.497349926019499
Plains,Female,868,25.11270215684118,5.383659397421246,25.743624555604388,3.1259249998374248
Plains,Male,1980,19.726723078852988,1.9579470172323519,17.12937178450836,1.6562200596143173
Plains,Others,1,0,0,0,0
