region,gen_edu_category,sample_size,prop,prop_se,total_pop
NER,Not Literate,166,2.891172651282674,0.5391553043512859,228071.9912499999
NER,Below Primary,307,6.373058061547865,0.7250397495770738,502742.73375000013
NER,Primary or Middle,3793,57.740686166664815,1.4759229266723464,4554910.708750017
NER,Matriculation,1219,9.9602811542992,0.6417329322352164,785723.1062500003
NER,HS or Diploma,1261,11.071456493235331,0.7005596592249423,873378.8787499996
NER,UG,1468,10.43899058440444,0.6533945377982906,823486.40375
NER,PG and above,266,1.5243548885656686,0.22891585130560324,120249.70375000003
Rest of India,Not Literate,2625,6.3560677859719155,0.2342175048056371,12243806.84750003
Rest of India,Below Primary,1029,2.641409542578119,0.14352937329758975,5088194.357500005
Rest of India,Primary or Middle,19029,36.18674908263108,0.40354146294902815,69707180.78000002
Rest of India,Matriculation,10222,14.359974203410083,0.24498968868897972,27661874.668750126
Rest of India,HS or Diploma,12674,18.87634007934022,0.27563134926052,36361830.883749925
Rest of India,UG,11039,17.961732751422108,0.3093363670446827,34600006.45999978
Rest of India,PG and above,2304,3.617726554647564,0.12400758831973391,6968891.247500011
