State,Terrain,District Count,Mean FE (%),Min FE (%),Max FE (%)
AR,Hills,17,13.54,1.3,36.16
AS,Hills,3,4.01,0,9.65
AS,Plains,30,13.07,0,49.04
ML,Hills,7,7.9,3.27,15.55
MN,Hills,6,9.12,1.41,24.81
MN,Plains,4,15.12,7.19,24.03
MZ,Hills,8,16.83,2.43,42.97
NL,Hills,12,10.42,2.72,23.27
SK,Hills,3,41.05,22.54,51.89
TR,Plains,8,8.25,2.28,16.59
