State,District Name,Terrain,Unweighted n,UG and Above (%),UG and Above SE,FE Share (%),FE Share SE,Unemployment (%),Unemployment SE,Small Cell Flag
NL,NA,Hills,42,31.68,12.74,21.46,14.51,31.35,7.53,
SK,East District,Hills,138,15.23,3.94,51.89,6.31,4.34,1.27,
SK,South District,Hills,22,11.03,6.18,22.54,9.15,8.82,4.73,CAUTION: n<30
SK,NA,Hills,281,24.29,4.39,48.71,4.18,6.48,1.49,
TR,Dhalai,Plains,171,11.45,3.77,5.24,2.14,2.23,0.93,
TR,Gomati,Plains,121,19.28,4.71,2.28,0.98,7.18,3.34,
TR,Khowai,Plains,88,11.93,4.01,3.98,2.14,3.83,1.83,
TR,North Tripura,Plains,133,9.68,2.64,9.6,3.19,2.12,0.91,
TR,Sepahijala,Plains,180,16.31,3.05,10.49,3.04,2.34,1.29,
TR,South Tripura,Plains,89,25.02,5.44,5.66,2.44,10.36,3.81,
TR,Unakoti,Plains,58,29.44,12.25,16.59,5.45,5.47,4.73,
TR,West Tripura,Plains,226,22.16,4.59,12.13,2.98,9.7,3.78,
