Terrain,District Count,Districts Flagged Small Cell,Mean FE (%),Median FE (%),Min FE (%),Max FE (%),Std Dev
Hills,56,13,13.12,10.3,0,51.89,11.61
Plains,42,3,12.34,8.52,0,49.04,11.15
