y.level,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Formal,gen_edu_categoryBelow Primary,1.2443672742590346,0.1259010100188563,1.736500662331018,0.0824753473595533,0.9722578246780907,1.592633017645852
Formal,gen_edu_categoryPrimary or Middle,1.3801996410568083,0.08071837895095303,3.992004798982087,6.551704659777591e-5,1.1782414620570243,1.6167747533239896
Formal,gen_edu_categoryMatriculation,1.8922657973895725,0.08250305890007566,7.730318780219613,1.0727760427745102e-14,1.609738786755786,2.2243794318870567
Formal,gen_edu_categoryHS or Diploma,2.9268772719050635,0.08128811920159155,13.211476507583445,7.53321052605433e-40,2.4958124093474514,3.4323936096760703
Formal,gen_edu_categoryUG,6.21339581615063,0.08243272047109541,22.159981695942157,8.358468687505297e-109,5.28642605467191,7.302908840281538
Formal,gen_edu_categoryPG and above,9.39173631747462,0.10277209899748699,21.794146556451047,2.636614109612021e-105,7.6783184765013575,11.48750358908822
Formal,genderMale,1.2302274018170172,0.030166133482479263,6.86859759281334,6.483611152605404e-12,1.1595992793997278,1.3051572962039943
Formal,social_groupOthers,1.4705944842849186,0.0303337759686746,12.71410227711101,4.937472446862728e-37,1.3857113552766689,1.5606772138902147
Formal,social_groupSC,1.0529280950357267,0.032091457338311785,1.6071238043359322,0.10802721240548027,0.9887407100551658,1.1212824171604179
Formal,social_groupST,0.48429876142864176,0.045381218353824464,-15.976946263754472,1.8498901907395882e-57,0.44308270180489,0.5293487860525815
Unemployed,gen_edu_categoryBelow Primary,1.520119745815176,0.2946271830673359,1.42142047972893,0.15519455619340694,0.8532782732600825,2.7081013475106563
Unemployed,gen_edu_categoryPrimary or Middle,2.6725550612126674,0.196475709407931,5.003340970510234,5.634515042359278e-7,1.8183866507346667,3.927960289593912
Unemployed,gen_edu_categoryMatriculation,3.7478831506630472,0.1984577587003141,6.657291688125174,2.7891930708903087e-11,2.540144903269138,5.52985307765164
Unemployed,gen_edu_categoryHS or Diploma,9.44862088145063,0.19505291238699593,11.514151544319594,1.119560330955723e-30,6.4467240916989015,13.84834146638001
Unemployed,gen_edu_categoryUG,37.5521220386983,0.19447952982102068,18.643246887212037,1.4327459812919916e-77,25.650344819524133,54.976331879013394
Unemployed,gen_edu_categoryPG and above,58.959494143048595,0.20439373459981472,19.946064766432503,1.621606285301684e-88,39.49785275117162,88.0104032870766
Unemployed,genderMale,0.8004186653363786,0.03739987315481626,-5.952436138284855,2.641802320094754e-9,0.7438448796778575,0.8612952207136646
Unemployed,social_groupOthers,1.305204981894804,0.04124803285765714,6.457522558902693,1.0643089102612688e-10,1.2038387915427653,1.415106455059351
Unemployed,social_groupSC,1.3296424691331874,0.044016939469212805,6.472737299096,9.624320063848872e-11,1.2197409130320804,1.4494464167212047
Unemployed,social_groupST,0.699457457394391,0.061358361913515666,-5.825616821757291,5.690203865631274e-9,0.62020172880747515,0.7888412946628496
