y.level,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Formal,gen_edu_categoryBelow Primary,0.4283397074428758,0.32691000464748105,-2.5934926346359832,0.00950065741332407,0.22569505059358788,0.8129327802701095
Formal,gen_edu_categoryPrimary or Middle,0.4349133107310957,0.27228473330156716,-3.057859848891982,0.0022292380943659796,0.2550548078329259,0.7416036947438583
Formal,gen_edu_categoryMatriculation,0.752028439372282,0.2808506606202407,-1.0147070218878038,0.31024550591742517,0.433684348421402,1.3040516119230112
Formal,gen_edu_categoryHS or Diploma,1.3773806619981632,0.27743613717596294,1.154080458995135,0.2484671839600078,0.7996499477863181,2.372509988024736
Formal,gen_edu_categoryUG,4.110438210527614,0.2786848158143349,5.072144455593965,3.9335760121366533e-7,2.3805164057583634,7.097494577939267
Formal,gen_edu_categoryPG and above,7.640187976375668,0.3429798237704133,5.928693369655913,3.0535467988451672e-9,3.9008485449571646,14.96404478195303
Formal,genderMale,1.097452184522205,0.07463081901512122,1.246017377428552,0.21275801554135218,0.9481122087968412,1.270315144281235
Formal,social_groupOthers,0.7639745049332799,0.10275113200714452,-2.620125497594352,0.008789741366549197,0.6246215210573388,0.9344171222279607
Formal,social_groupSC,0.8101214348859328,0.15002117071381046,-1.4036093835176784,0.16043519935399705,0.6037426702523576,1.0870471338183172
Formal,social_groupST,0.5155962891242312,0.10938775656538263,-6.055807577934839,1.3971493483619695e-9,0.41610099640820114,0.6388822320864749
Formal,ner_state_nameAssam,1.1500617226393808,0.12289846412070463,1.1376514246580591,0.25526606431587856,0.9038779392710223,1.4632970984411575
Formal,ner_state_nameManipur,0.8003609751749297,0.1440793675659816,-1.5456233454955417,0.12219555968786476,0.6034556039399354,1.0615158536943905
Formal,ner_state_nameMeghalaya,1.3657955513893512,0.13583457360837684,2.2949759557669243,0.021734502277021298,1.0465575019004079,1.782412800832855
Formal,ner_state_nameMizoram,0.9055005999324826,0.1811579675177985,-0.5479601061783872,0.5837192958767958,0.6348729169133105,1.2914889179152753
Formal,ner_state_nameNagaland,1.1721008070073278,0.17209238486578304,0.9227468163955485,0.35613916220393815,0.8365264191496101,1.6422915885714846
Formal,ner_state_nameSikkim,4.209903336668251,0.15808841597677323,9.092631348969595,9.667057278224318e-20,3.0882113906220874,5.739013254698314
Formal,ner_state_nameTripura,0.5904767738910827,0.15010679871003074,-3.509667660618531,4.4866709571152993e-4,0.439978729018648,0.7924538108523949
Unemployed,gen_edu_categoryBelow Primary,0.2982250569828652,0.4810545166257685,-2.5151137988004364,0.01189939679410388,0.11616352527462555,0.7656291800904962
Unemployed,gen_edu_categoryPrimary or Middle,0.9417801077253221,0.37121509979931927,-0.16158680769449424,0.8716312467137459,0.4549573097907659,1.9495230700107355
Unemployed,gen_edu_categoryMatriculation,1.586307358361862,0.37826458203038293,1.2198046579984647,0.22253893519952928,0.7558018364273889,3.329405822943831
Unemployed,gen_edu_categoryHS or Diploma,3.319294061066024,0.3749020453330947,3.2001749338123076,0.0013734419939804164,1.5919467231858087,6.920905645497669
Unemployed,gen_edu_categoryUG,16.44806615768399,0.3745927798190529,7.475338720757082,7.70052472300346e-14,7.893341485853348,34.274315993095726
Unemployed,gen_edu_categoryPG and above,34.701360155301735,0.4205135320482195,8.434398927587981,3.3290932360515864e-17,15.219652279997941,79.12036191592452
Unemployed,genderMale,0.700314912459045,0.0721942779204429,-4.934257678332718,8.045616409931861e-7,0.6079130878952962,0.8067616677089717
Unemployed,social_groupOthers,0.6388193565176717,0.11241084623438065,-3.986568705230136,6.703572219537575e-5,0.5124998955279615,0.796273665268264
Unemployed,social_groupSC,0.7916718886793978,0.16385818336462407,-1.4256734096509396,0.15396263535572688,0.5742075326069523,1.091494527213411
Unemployed,social_groupST,0.782645894876078,0.11312295532090375,-2.1664473503696455,0.030277018981294777,0.6270105921726145,0.9769126780520923
Unemployed,ner_state_nameAssam,1.0692477408583154,0.12125256995575251,0.5521974117229775,0.5808131074967698,0.843078407812396,1.356090632539387
Unemployed,ner_state_nameManipur,0.7102809329730846,0.13618036261648186,-2.512070759623424,0.012002501975988041,0.5438926897391676,0.9275708485566447
Unemployed,ner_state_nameMeghalaya,1.2682938710521265,0.12378108024914397,1.920104334114697,0.054844721959755385,0.9950782809585522,1.6165254273250382
Unemployed,ner_state_nameMizoram,0.27565498703630736,0.20258956229366992,-6.360669461970554,2.0087629874603852e-10,0.18531957941655847,0.4100250611252865
Unemployed,ner_state_nameNagaland,1.7284006963266958,0.14088639844413373,3.8839556833878617,1.0277064749657076e-4,1.311359337053574,2.2780704591426275
Unemployed,ner_state_nameSikkim,0.6076795928566024,0.20455502566838107,-2.435078384054637,0.014888564093902198,0.40696503573226817,0.9073862743759202
Unemployed,ner_state_nameTripura,0.22903580770081242,0.16617656992865903,-8.869342547982097,7.357901384492624e-19,0.16536882208021408,0.31721457859643243
